count,name
1880,Avengers
1477,Spider-Man (Peter Parker)
1344,Captain America
1072,Iron Man
915,Fantastic Four
864,Hulk
839,Daredevil
821,X-Men
594,Deadpool
510,Thor
499,Black Panther
471,Archangel
446,Doctor Strange
421,Punisher
343,Beast
343,Black Widow
309,Captain Marvel (Carol Danvers)
262,Wolverine
239,Cable
222,Doctor Doom
211,Cyclops
206,Silver Surfer
201,Alpha Flight
200,Guardians of the Galaxy
200,Colossus
190,Black Cat
189,Moon Knight
181,Ghost Rider (Johnny Blaze)
180,Adam Warlock
159,Defenders
159,Thunderbolts
158,Hawkeye
157,Eddie Brock
157,Iron Fist (Danny Rand)
154,Loki
151,New Mutants
149,Human Torch
148,Spider-Man (Miles Morales)
140,Spider-Girl (May Parker)
139,She-Hulk (Jennifer Walters)
138,Bishop
137,Amadeus Cho
136,Carnage
135,Gambit
125,Mary Jane Watson
125,Ant-Man (Scott Lang)
124,Excalibur
123,Two-Gun Kid
121,Ms. Marvel (Kamala Khan)
118,Rawhide Kid
117,Apocalypse
117,Exiles
114,Doctor Octopus
109,Angel (Warren Worthington III)
109,Captain Marvel (Mar-Vell)
108,Spider-Man (Ultimate)
107,Banshee (Theresa Rourke)
106,Elektra
106,Sub-Mariner
103,Spider-Gwen (Gwen Stacy)
102,Bullseye
102,Black Bolt
101,Captain Britain
99,Inhumans
98,Emma Frost
96,Nick Fury
93,Absorbing Man
92,Banshee
92,Ka-Zar
90,Cloak
89,J. Jonah Jameson
89,Runaways
85,Magneto
85,Balder
84,Generation X
84,Blade
83,Hercules
83,Cannonball
82,Dracula
80,Howard The Duck
78,Luke Cage
77,Deathlok
76,Bruce Banner
76,Daken
75,Clea
74,Colleen Wing
74,X-Force
73,Man-Thing
71,Devil Dinosaur (Devil Dinosaur)
69,Kitty Pryde
68,Nova
64,Namor
64,Havok
64,Thing
63,Power Pack
63,Spider-Woman (Jessica Drew)
62,Eternals
60,Doc Samson
59,Alicia Masters
59,Dazzler
58,Ghost Rider (Daniel Ketch)
58,New Warriors
58,Fantastic Four (Ultimate)
57,Galactus
57,Nightcrawler
56,Betty Ross
56,Captain Marvel (Genis-Vell)
